senate18imm	https://www.senatorhanson.com.au/2018/08/22/immigration-debate-will-not-be-silenced-speech-transcript/	Senate Speech Transcript, 22 Aug 2018
senate18tax	https://www.senatorhanson.com.au/2018/08/22/corporate-tax-cuts-and-government-failure-senator-hanson-speech/	Senate Speech, 22 Aug 2018
senate20jm	https://www.senatorhanson.com.au/2020/11/10/flawed-jobmaker-falls-short/	Speech Transcript, 10 Nov 2020
senate21voice	https://www.senatorhanson.com.au/2021/08/04/australia-must-oppose-an-indigenous-voice-to-parliament/	Senatorhanson.com.au, 4 Aug 2021
onenation	https://www.onenation.org.au/policies	One Nation Policies hub
onenation_anwic	https://www.onenation.org.au/gas-policy-ownership	One Nation Gas Policy, June 2026
onenation_nativetitle_petition	https://www.onenation.org.au/australia-native-title-enough	One Nation Senate petition
onenation_tax	https://www.onenation.org.au/tax	One Nation Multinational Taxation
theconv_ensuringintegrity	https://theconversation.com/view-from-the-hill-did-hanson-mislead-the-government-on-union-bill-or-did-it-misread-her-128070	The Conversation
energy26	https://www.indailysa.com.au/news/just-in/2026/05/21/hanson-backs-sa-members-on-fracking-unveils-gas-policy	InDaily SA, 21 May 2026
aim26	https://theaimn.net/fact-checking-pauline-hansons-2026-national-press-club-address/	The AIMN fact-check
antiworker	https://meu.org.au/campaign/one-nation-anti-worker-record/	Mining and Energy Union
aoc22	https://www.sbs.com.au/nitv/article/ignorant-and-racist-pauline-hanson-slammed-for-walking-out-on-acknowledgement-of-country/9zd96glci	NITV/SBS 2022
burqa25	https://www.nbcnews.com/world/asia/australian-senator-pauline-hanson-barred-parliament-wearing-burqa-rcna245796	NBC News 2025
demosau26	https://auscastnetwork.com/pauline-hansons-political-surge-is-sending-shockwaves-through-canberra/	Auscast Network, Jan 2026
roymorgan26	https://www.roymorgan.com/findings/10261-federal-voting-intention-june-22-2026	Roy Morgan, 22 June 2026
uluru19	https://thebrag.com/pauline-hanson-uluru/	The Brag
wtc_afl25	https://www.onenation.org.au/lies-hanson-urges-aussies-to-ignore-welcome-to-country	One Nation
2gb19	https://www.2gb.com/pauline-hanson-rails-against-the-water-wastage-destroying-farmers-lives/	2GB, 2 Dec 2019
ladbible22	https://www.ladbible.com/news/latest-pauline-hanson-tells-australian-first-nations-people-to-get-over-it-20220126	LADbible
austlii03	https://classic.austlii.edu.au/au/cases/qld/QCA/2003/488.html	R v Hanson QCA 2003
hansard22crown	https://www.openaustralia.org.au/senate/?id=2022-09-27.103.2	Senate Hansard, Censure Motion, 27 Sep 2022
newdaily17	https://www.thenewdaily.com.au/news/national/2017/03/05/pauline-hanson-supports-penalty-rate-cuts-putin-and-anti-vax-campaigners	The New Daily, 5 Mar 2017
conversation17	https://theconversation.com/hanson-stirs-the-sugar-pot-and-backflips-on-penalty-rates-75251	The Conversation 2017
cantimes21voterid	https://www.canberratimes.com.au/story/7488468/govt-accused-of-trumpist-move-to-suppress-voting/	Canberra Times, 28 Oct 2021
tvfy_251	https://theyvoteforyou.org.au/people/senate/queensland/pauline_hanson/policies/251	TheyVoteForYou policy 251
onenation_vaping	https://colinmendelsohn.com.au/one-nation/	Colin Mendelsohn vaping statement 2023
tvfy_plainpack	https://theyvoteforyou.org.au/people/senate/queensland/pauline_hanson/policies/2	TheyVoteForYou policy 2
onenation_aboriginalspend	https://www.onenation.org.au/hanson-aboriginal-spending-accountability	One Nation, 2 Sep 2025
onenation_nativetitlepetition	https://www.onenation.org.au/australia-native-title-enough	One Nation native title petition (dup URL of onenation_nativetitle_petition)
couriermail26defence	https://www.hancockprospecting.com.au/bulldozer-hanson-keeps-on-rolling/	Hancock Prospecting republish, 19 Jun 2026
conversation21crt	https://theconversation.com/the-senate-has-voted-to-reject-critical-race-theory-from-the-national-curriculum-what-is-it-and-why-does-it-matter-163102	The Conversation, June 2021
onenation_firearms	https://www.onenation.org.au/firearms	One Nation Firearms policy
tvfy_workplaceprotect	https://theyvoteforyou.org.au/people/senate/queensland/pauline_hanson/policies/251	TheyVoteForYou (dup of tvfy_251)
enoughrope04	https://www.youtube.com/watch?v=tGPmDs9HnV8	Enough Rope ABC interview 2004 (likely fails, video page)
phon22	https://www.facebook.com/watch/?v=1161243831175138	Facebook video (likely fails, needs login)
